,M270,M351,M183,M222,M365,M412,M151,M304,M355,M350,M178,M163,M108,M231,M321
M062,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
M073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M079,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
M045,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
M016,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
M013,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
M022,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
M008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M052,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
M058,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
M060,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
M019,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
M044,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M035,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
